App ID,Name,Price (USD),Is Free,Release Date,Days Since Release,Tags,Controller Support,Steam Deck Support,Languages,Review Summary,Total Reviews,Positive Reviews,All-Time Peak Players,Avg Players (30 Days)
1291340,Townscaper,5.99,False,"Aug 26, 2021",1478.0,"Experimental, Relaxing, Building, Sandbox, Casual, City Builder, Short, Simulation, Singleplayer, Indie, Stylized, Family Friendly, Atmospheric, Cute, Colorful, Procedural Generation, Minimalist, Open World, Controller, Nature",True,True,"Korean, Portuguese - Portugal, Simplified Chinese, Portuguese - Brazil, Turkish, Traditional Chinese, Czech, Greek, Romanian, Italian, Swedish, Finnish, Ukrainian, French, English, German, Spanish - Spain, Japanese, Dutch, Russian, Spanish - Latin America, Hungarian, Norwegian, Polish, Danish",Overwhelmingly Positive,10410,9996,1162,56.0
1367590,Tormented Souls,,False,"Aug 27, 2021",1477.0,"Survival Horror, Horror, Puzzle, Psychological Horror, Action, Atmospheric, Female Protagonist, Nudity, Third-Person Shooter, Third Person, Singleplayer, Story Rich, Dark, Combat, Exploration, Old School, Survival, Gore, 3D, Adventure",True,True,"French, English, German, Korean, Simplified Chinese, Spanish - Spain, Japanese, Russian, Spanish - Latin America, Portuguese - Brazil, Italian, Traditional Chinese",Very Positive,2149,1926,550,74.0
2343650,Waven,0.0,True,"Aug 16, 2023",758.0,"Tactical RPG, Turn-Based Tactics, PvE, Free to Play, Character Customization, PvP, RPG, Strategy RPG, Multiplayer, Fantasy, Anime, Deckbuilding, Online Co-Op, Colorful, Adventure, Funny, Singleplayer, Strategy, Asynchronous Multiplayer, Early Access",False,True,"French, English, German, Spanish - Spain, Portuguese - Brazil",7 user reviews,7,5,16064,61.0
1515640,Arcadegeddon,0.0,True,"Jul 18, 2023",787.0,"Roguelite, Arcade, Action, Third-Person Shooter, Shooter, Colorful, Looter Shooter, Action Roguelike, Cyberpunk, Adventure, Futuristic, Retro, PvP, Online Co-Op, Multiplayer, PvE, Singleplayer, Indie, Replay Value, Party Game",False,True,"French, English, German, Korean, Simplified Chinese, Spanish - Spain, Japanese, Russian, Italian, Portuguese - Brazil, Traditional Chinese",Mostly Positive,174,134,920,43.0
3515380,YKMET: Strade,14.99,False,"Jul 15, 2025",59.0,"Visual Novel, Dark, Sexual Content, Horror, Choices Matter, Gore, Choose Your Own Adventure, Violent, Multiple Endings, RPG, Nudity, First-Person, Singleplayer, Survival Horror, Immersive Sim, 2D, Interactive Fiction, Cartoony, NSFW, LGBTQ+",False,True,English,Very Positive,403,396,149,48.0
475150,Titan Quest Anniversary Edition,19.99,False,"Aug 31, 2016",3299.0,"RPG, Hack and Slash, Action RPG, Loot, Mythology, Multiplayer, Co-op, Singleplayer, Classic, Isometric, Adventure, Action, Top-Down, Fantasy, Open World, Atmospheric, Great Soundtrack, Story Rich, Dungeon Crawler, Level Editor",False,True,"Ukrainian, French, English, German, Korean, Czech, Polish, Simplified Chinese, Spanish - Spain, Japanese, Russian, Italian",Very Positive,7713,6965,19497,1330.0
1426450,Age of Darkness: Final Stand,27.99,False,"Jan 15, 2025",240.0,"Tower Defense, Action RTS, RTS, PvE, Strategy, Base Building, 3D, Dark Fantasy, Stylized, Fantasy, Medieval, Tactical, Atmospheric, Building, Survival, Co-op, Multiplayer, Dark, Resource Management, Combat",False,True,"French, English, German, Polish, Simplified Chinese, Spanish - Spain, Russian, Spanish - Latin America",Mostly Positive,5051,3927,6458,193.0
773790,Ostriv,24.99,False,"Mar 19, 2020",2003.0,"Early Access, Strategy, City Builder, Simulation, Historical, Colony Sim, Management, Base Building, Building, Survival, Resource Management, Sandbox, Economy, Singleplayer, Relaxing, 3D, Medieval, Realistic, Farming Sim, Agriculture",False,True,"Ukrainian, English",Very Positive,2615,2430,1237,246.0
2426960,Summoners War,0.0,True,"Jan 8, 2024",613.0,"Free to Play, RPG, Strategy, Turn-Based Strategy, Strategy RPG, RTS, Tactical RPG, Turn-Based Tactics, PvP, Real Time Tactics, PvE, Turn-Based Combat, Tutorial, Lore-Rich, Anime, Fantasy, Colorful, Multiplayer, Cinematic, Party-Based RPG",False,True,"French, English, German, Korean, Indonesian, Simplified Chinese, Spanish - Spain, Japanese, Russian, Arabic, Italian, Vietnamese, Portuguese - Brazil, Turkish, Traditional Chinese, Thai",No user reviews,0,0,22185,7990.0
1465470,The Crust,29.99,False,"Jul 15, 2024",424.0,"Early Access, Base Building, Space, Automation, Colony Sim, Resource Management, Sandbox, Strategy, City Builder, Building, Simulation, Management, Sci-fi, Exploration, Survival, Post-apocalyptic, RTS, Singleplayer, Dungeon Crawler, Indie",False,True,"French, English, German, Korean, Polish, Simplified Chinese, Spanish - Spain, Japanese, Russian, Spanish - Latin America, Portuguese - Brazil, Italian",Mostly Positive,1401,1047,5101,350.0
