App ID,Name,Price (USD),Release Date,Days Since Release,Tags,Controller Support,Steam Deck Support,Languages,Total Reviews,Positive Reviews,All-Time Peak Players,Avg Players (30 Days),IsMultiplayer,ReviewSuccessScore,CommercialSuccessScore,LongevityScore,LanguageMarketScore
1291340,Townscaper,5.99,"Aug 26, 2021",1478.0,"Experimental, Relaxing, Building, Sandbox, Casual, City Builder, Short, Simulation, Singleplayer, Indie, Stylized, Family Friendly, Atmospheric, Cute, Colorful, Procedural Generation, Minimalist, Open World, Controller, Nature",True,True,"Korean, Portuguese - Portugal, Simplified Chinese, Portuguese - Brazil, Turkish, Traditional Chinese, Czech, Greek, Romanian, Italian, Swedish, Finnish, Ukrainian, French, English, German, Spanish - Spain, Japanese, Dutch, Russian, Spanish - Latin America, Hungarian, Norwegian, Polish, Danish",10410,9996,1162,56.0,False,0.9563037100581844,3.8419429316969502,5.566067410003185,98.67999999999999
1367590,Tormented Souls,,"Aug 27, 2021",1477.0,"Survival Horror, Horror, Puzzle, Psychological Horror, Action, Atmospheric, Female Protagonist, Nudity, Third-Person Shooter, Third Person, Singleplayer, Story Rich, Dark, Combat, Exploration, Old School, Survival, Gore, 3D, Adventure",True,True,"French, English, German, Korean, Simplified Chinese, Spanish - Spain, Japanese, Russian, Spanish - Latin America, Portuguese - Brazil, Italian, Traditional Chinese",2149,1926,550,74.0,False,0.8826223095382172,2.9412845298846912,5.943333748866678,92.77
2343650,Waven,0.0,"Aug 16, 2023",758.0,"Tactical RPG, Turn-Based Tactics, PvE, Free to Play, Character Customization, PvP, RPG, Strategy RPG, Multiplayer, Fantasy, Anime, Deckbuilding, Online Co-Op, Colorful, Adventure, Funny, Singleplayer, Strategy, Asynchronous Multiplayer, Early Access",False,True,"French, English, German, Spanish - Spain, Portuguese - Brazil",7,5,16064,61.0,True,0.35893445183261935,0.3241501094364806,5.162521422860751,48.62
1515640,Arcadegeddon,0.0,"Jul 18, 2023",787.0,"Roguelite, Arcade, Action, Third-Person Shooter, Shooter, Colorful, Looter Shooter, Action Roguelike, Cyberpunk, Adventure, Futuristic, Retro, PvP, Online Co-Op, Multiplayer, PvE, Singleplayer, Indie, Replay Value, Party Game",False,True,"French, English, German, Korean, Simplified Chinese, Spanish - Spain, Japanese, Russian, Italian, Portuguese - Brazil, Traditional Chinese",174,134,920,43.0,True,0.7021663684249172,1.574985880884968,4.760303764645623,92.11999999999999
3515380,YKMET: Strade,14.99,"Jul 15, 2025",59.0,"Visual Novel, Dark, Sexual Content, Horror, Choices Matter, Gore, Choose Your Own Adventure, Violent, Multiple Endings, RPG, Nudity, First-Person, Singleplayer, Survival Horror, Immersive Sim, 2D, Interactive Fiction, Cartoony, NSFW, LGBTQ+",False,True,English,403,396,149,48.0,False,0.9645852209469201,2.5140769449371483,3.0054242730962346,35.62
475150,Titan Quest Anniversary Edition,19.99,"Aug 31, 2016",3299.0,"RPG, Hack and Slash, Action RPG, Loot, Mythology, Multiplayer, Co-op, Singleplayer, Classic, Isometric, Adventure, Action, Top-Down, Fantasy, Open World, Atmospheric, Great Soundtrack, Story Rich, Dungeon Crawler, Level Editor",False,True,"Ukrainian, French, English, German, Korean, Czech, Polish, Simplified Chinese, Spanish - Spain, Japanese, Russian, Italian",7713,6965,19497,1330.0,True,0.896214581511562,3.4838366908787424,10.992464038848237,89.80999999999999
1426450,Age of Darkness: Final Stand,27.99,"Jan 15, 2025",240.0,"Tower Defense, Action RTS, RTS, PvE, Strategy, Base Building, 3D, Dark Fantasy, Stylized, Fantasy, Medieval, Tactical, Atmospheric, Building, Survival, Co-op, Multiplayer, Dark, Resource Management, Combat",False,True,"French, English, German, Polish, Simplified Chinese, Spanish - Spain, Russian, Spanish - Latin America",5051,3927,6458,193.0,True,0.7657905126591782,2.83607709119528,5.449582710726065,82.22000000000001
773790,Ostriv,24.99,"Mar 19, 2020",2003.0,"Early Access, Strategy, City Builder, Simulation, Historical, Colony Sim, Management, Base Building, Building, Survival, Resource Management, Sandbox, Economy, Singleplayer, Relaxing, 3D, Medieval, Realistic, Farming Sim, Agriculture",False,True,"Ukrainian, English",2615,2430,1237,246.0,False,0.9187844983932757,3.1400725763163027,7.90044060790802,36.309999999999995
2426960,Summoners War,0.0,"Jan 8, 2024",613.0,"Free to Play, RPG, Strategy, Turn-Based Strategy, Strategy RPG, RTS, Tactical RPG, Turn-Based Tactics, PvP, Real Time Tactics, PvE, Turn-Based Combat, Tutorial, Lore-Rich, Anime, Fantasy, Colorful, Multiplayer, Cinematic, Party-Based RPG",False,True,"French, English, German, Korean, Indonesian, Simplified Chinese, Spanish - Spain, Japanese, Russian, Arabic, Italian, Vietnamese, Portuguese - Brazil, Turkish, Traditional Chinese, Thai",0,0,22185,7990.0,True,0.0,0.0,10.881109037704181,94.58
1465470,The Crust,29.99,"Jul 15, 2024",424.0,"Early Access, Base Building, Space, Automation, Colony Sim, Resource Management, Sandbox, Strategy, City Builder, Building, Simulation, Management, Sci-fi, Exploration, Survival, Post-apocalyptic, RTS, Singleplayer, Dungeon Crawler, Indie",False,True,"French, English, German, Korean, Polish, Simplified Chinese, Spanish - Spain, Japanese, Russian, Spanish - Latin America, Portuguese - Brazil, Italian",1401,1047,5101,350.0,False,0.7239136941486415,2.277973979102256,6.69005704849705,93.0
