App ID,Name,Price (USD),Is Free,Release Date,Days Since Release,Tags,Controller Support,Steam Deck Support,Languages,Review Summary,Total Reviews,Positive Reviews,All-Time Peak Players,Avg Players (30 Days)
730,Counter-Strike 2,0.0,True,"Aug 21, 2012",4770,"FPS, Shooter, Multiplayer, Competitive, Action, Team-Based, eSports, Tactical, First-Person, PvP, Online Co-Op, Co-op, Strategy, Military, War, Difficult, Trading, Realistic, Fast-Paced, Moddable",False,True,"Norwegian, Czech, Greek, English, Dutch, Russian, Polish, Thai, Portuguese - Brazil, Portuguese - Portugal, Korean, Spanish - Latin America, Hungarian, Romanian, Italian, Swedish, Finnish, Simplified Chinese, Turkish, Japanese, Vietnamese, Indonesian, Traditional Chinese, Danish, French, Bulgarian, German, Ukrainian, Spanish - Spain",Very Positive,1353998,1163485,1818368,1470362.0
570,Dota 2,0.0,True,"Jul 9, 2013",4448,"Free to Play, MOBA, Multiplayer, Strategy, eSports, Team-Based, Competitive, Action, Online Co-Op, PvP, Difficult, Co-op, RTS, RPG, Tower Defense, Fantasy, Character Customization, Replay Value, Action RPG, Simulation",False,True,"Norwegian, Czech, Greek, English, Dutch, Russian, Polish, Thai, Portuguese - Brazil, Portuguese - Portugal, Korean, Spanish - Latin America, Hungarian, Romanian, Italian, Swedish, Finnish, Simplified Chinese, Turkish, Japanese, Vietnamese, Traditional Chinese, Danish, French, Bulgarian, German, Ukrainian, Spanish - Spain",Very Positive,6091,5417,1291328,834651.0
578080,PUBG: BATTLEGROUNDS,0.0,True,"Dec 21, 2017",2822,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth",False,True,"Portuguese - Portugal, French, Italian, English, Arabic, Japanese, Russian, Simplified Chinese, Polish, Turkish, Thai, Portuguese - Brazil, Traditional Chinese, German, Korean, Ukrainian, Spanish - Spain",Mixed,277803,175825,3236027,695376.0
1030300,Hollow Knight: Silksong,19.99,False,"Sep 4, 2025",8,"Metroidvania, Indie, Difficult, Souls-like, Great Soundtrack, 2D, Singleplayer, Platformer, Exploration, Adventure, Female Protagonist, Beautiful, Atmospheric, Story Rich, Sequel, Hand-drawn, Action, Open World, Multiple Endings, Cute",True,True,"French, Italian, English, Russian, Simplified Chinese, Korean, Portuguese - Brazil, German, Japanese, Spanish - Spain",Very Positive,59451,54442,462134,361818.0
1285190,Borderlands 4,69.99,False,"Sep 11, 2025",1,"FPS, PvE, Action RPG, Action-Adventure, RPG, First-Person, Looter Shooter, Open World, Controller, Loot, Action, Sci-fi, Space, Co-op, Funny, Futuristic, Multiplayer, Adventure, Online Co-Op, LGBTQ+",False,True,"French, Italian, English, Russian, Simplified Chinese, Korean, Thai, Portuguese - Brazil, Traditional Chinese, Polish, German, Japanese, Spanish - Latin America, Spanish - Spain",Mixed,7405,4725,223533,223533.0
2694490,Path of Exile 2,29.99,False,"Dec 6, 2024",280,"Action RPG, Hack and Slash, RPG, MMORPG, Souls-like, Isometric, Dark Fantasy, Action, Loot, Dungeon Crawler, Adventure, Multiplayer, Online Co-Op, Character Customization, Early Access, Inventory Management, Crafting, Dark, Horror, Free to Play",True,True,"French, English, Russian, Korean, Thai, Portuguese - Brazil, German, Japanese, Spanish - Spain",Mostly Positive,80322,59753,578562,174532.0
252490,Rust,39.99,False,"Feb 8, 2018",2773,"Survival, Crafting, Multiplayer, Open World, Open World Survival Craft, Building, PvP, Sandbox, Adventure, First-Person, Action, Nudity, FPS, Shooter, Co-op, Online Co-Op, Indie, Post-apocalyptic, Early Access, Simulation",False,True,"Norwegian, Czech, Greek, English, Dutch, Russian, Polish, Portuguese - Brazil, Portuguese - Portugal, Korean, Spanish - Latin America, Italian, Swedish, Finnish, Simplified Chinese, Turkish, Arabic, Japanese, Vietnamese, Traditional Chinese, Danish, French, German, Ukrainian, Spanish - Spain",Very Positive,498141,433174,259646,133269.0
2507950,Delta Force,0.0,True,"Dec 4, 2024",282,"Free to Play, FPS, Multiplayer, Extraction Shooter, Singleplayer, Co-op, Shooter, Massively Multiplayer, PvP, PvE, Action, First-Person, Looter Shooter, Online Co-Op, Gun Customization, Tactical, Hero Shooter, Military, Co-op Campaign, Team-Based",True,True,"French, English, Arabic, Russian, Simplified Chinese, Korean, Traditional Chinese, Portuguese - Brazil, Turkish, German, Japanese, Spanish - Latin America",No user reviews,0,0,214801,214801.0
2923300,Banana,0.0,True,"Apr 23, 2024",507,"Free to Play, Clicker, Singleplayer, 2D, Casual, Family Friendly, Idler, Funny, Simulation, Colorful, Arcade, Hidden Object, Dating Sim, Fantasy, Pixel Graphics, Mystery, First-Person, Crafting, Anime, Open World",False,True,"Dutch, Portuguese - Portugal, English, Portuguese - Brazil",No user reviews,0,0,890713,122014.0
1172470,Apex Legends™,0.0,True,"Nov 4, 2020",1773,"Free to Play, Multiplayer, Battle Royale, FPS, Shooter, First-Person, PvP, Action, Hero Shooter, Team-Based, Tactical, Sci-fi, Loot, Survival, Co-op, Character Customization, Funny, Lore-Rich, Cyberpunk, Cinematic",True,True,"French, Italian, English, Arabic, Russian, Simplified Chinese, Korean, Polish, Portuguese - Brazil, Traditional Chinese, German, Japanese, Spanish - Latin America, Spanish - Spain",Mostly Positive,1032,821,624473,184370.0
